	FSC-A	FSC-W	FSC-H	SSC-A	SSC-W	SSC-H	CD34-PE	Lin-PE-Cy5	CD123-PE-Cy7	CD90-BV421	Zombie	CD45RA-FITC	IL1RAP-APC	CD38-APC-cy7	Time	Well	Plate	Plate_Well	CD34_pos	CD38_pos	CD38_neg	IL1RAP_pos	CD45RA_pos	CD45RA_neg	CD123_pos	CD123_neg	CD90_pos	CD90_neg	lsc	hsc	mpp	lmpp	cmp	gmp	mep	unassigned	celltype
0	121773.59	93347.47	85493.0	39123.03	79198.336	32374.0	1054.03	132.98001	2945.1802	104.0	1438.0	175.74	798.4	8964.8	1706.8	A2	not_seq	not_seq_A2	True	True	False	False	False	True	True	False	False	True	False	False	False	False	True	False	False	False	CMP
1	117292.5	97890.88	78525.0	36411.24	83777.94	28483.0	477.42	973.37006	377.14	567.0	2296.0	3442.59	716.8	2116.0	1967.3	A3	not_seq	not_seq_A3	True	False	True	False	True	False	False	True	True	False	False	False	False	False	False	False	False	True	unassigned
2	145303.2	108424.414	87827.0	102507.75	97748.31	68727.0	1338.52	719.4	410.93002	715.0	3012.0	5486.22	1170.4	3369.6	2181.9	A4	not_seq	not_seq_A4	True	True	False	False	True	False	True	False	True	False	False	False	False	False	False	True	False	False	GMP
3	126592.195	96132.67	86301.0	76951.5	79570.42	63379.0	493.77002	1073.65	512.3	415.0	3403.0	11810.25	815.2	1988.0	2477.2	A5	not_seq	not_seq_A5	True	False	True	False	True	False	True	False	False	True	False	False	False	True	False	False	False	False	LMPP
4	126399.59	93120.55	88957.0	51885.93	79909.67	42553.0	1763.62	1097.63	364.06	457.0	2430.0	731.67	931.2	2352.0	2730.5	A6	not_seq	not_seq_A6	True	False	True	False	False	True	False	True	False	True	False	False	True	False	False	False	False	False	MPP
5	150501.6	101511.59	97164.0	50210.31	89185.36	36896.0	1984.89	665.99	717.22003	609.0	3010.0	9858.84	692.8	4714.4	2933.1	A7	not_seq	not_seq_A7	True	True	False	False	True	False	True	False	True	False	False	False	False	False	False	True	False	False	GMP
6	144702.89	97688.914	97076.0	41150.13	89195.13	30235.0	597.32	1080.1901	931.95	264.0	4531.0	8696.5205	1540.8	5760.8003	3116.3	A8	not_seq	not_seq_A8	True	True	False	True	True	False	True	False	False	True	False	False	False	False	False	True	False	False	GMP
7	141162.3	104480.34	88545.0	35428.14	89490.03	25945.0	786.98004	518.84	284.49002	385.0	2313.0	729.93	450.4	970.4	3389.6	A9	not_seq	not_seq_A9	True	False	True	False	False	True	False	True	False	True	False	False	True	False	False	False	False	False	MPP
8	185973.3	119665.66	101850.0	77309.94	91849.17	55162.0	1189.1901	950.48004	646.37	1220.0	3274.0	551.58	1024.8	7825.6	3730.6	A10	not_seq	not_seq_A10	True	True	False	False	False	True	True	False	True	False	False	False	False	False	True	False	False	False	CMP
9	109113.3	93188.89	76735.0	35890.11	80405.23	29253.0	730.30005	822.95	594.05	510.0	2235.0	6527.61	1259.2001	5520.0	3926.4	A11	not_seq	not_seq_A11	True	True	False	True	True	False	True	False	True	False	False	False	False	False	False	True	False	False	GMP
10	114378.3	89155.14	84077.0	32312.67	76898.95	27538.0	869.82	303.02002	663.81	196.0	1853.0	276.66	986.4	8933.601	4171.5	A12	not_seq	not_seq_A12	True	True	False	False	False	True	True	False	False	True	False	False	False	False	True	False	False	False	CMP
11	144370.8	100587.74	94062.0	45429.66	89644.66	33212.0	1121.61	616.94	808.78	153.0	1840.0	180.09	1093.6	9825.601	4354.2	A13	not_seq	not_seq_A13	True	True	False	False	False	True	True	False	False	True	False	False	False	False	True	False	False	False	CMP
12	144225.0	95504.914	98968.0	58048.14	78761.164	48301.0	570.07	814.23004	3045.4602	420.0	2544.0	10652.28	1340.8	4537.6	4578.9	A14	not_seq	not_seq_A14	True	True	False	True	True	False	True	False	False	True	False	False	False	False	False	True	False	False	GMP
13	144053.1	98110.29	96225.0	68050.53	86290.65	51683.0	501.40002	746.65	650.73004	292.0	3200.0	10391.28	1730.4	6298.4	4792.0	A15	not_seq	not_seq_A15	True	True	False	True	True	False	True	False	False	True	False	False	False	False	False	True	False	False	GMP
14	164799.89	103557.53	104293.0	60087.42	86357.23	45600.0	1008.25006	1279.66	757.55005	563.0	3049.0	3270.33	1684.0	4766.4	5025.8	A16	not_seq	not_seq_A16	True	True	False	True	True	False	True	False	True	False	False	False	False	False	False	True	False	False	GMP
15	146541.6	97548.52	98451.0	75416.82	84470.14	58512.0	674.71	1160.85	627.84	269.0	2950.0	8953.17	1788.0	5424.8003	5225.9	A17	not_seq	not_seq_A17	True	True	False	True	True	False	True	False	False	True	False	False	False	False	False	True	False	False	GMP
16	159365.7	109773.61	95143.0	55405.082	91149.4	39836.0	542.82	722.67004	711.77	212.0	3048.0	299.28	1454.4	7338.4	5444.7	A18	not_seq	not_seq_A18	True	True	False	True	False	True	True	False	False	True	False	False	False	False	True	False	False	False	CMP
17	117999.9	90510.79	85440.0	33401.04	79732.3	27454.0	634.38	643.10004	592.96	324.0	2395.0	283.62	902.4	6299.2	5666.3	A19	not_seq	not_seq_A19	True	True	False	False	False	True	True	False	False	True	False	False	False	False	True	False	False	False	CMP
18	143840.7	111232.65	84748.0	47712.54	89526.41	34927.0	562.44	369.51	1976.17	620.0	1996.0	170.52	884.0	8306.4	5904.4	A20	not_seq	not_seq_A20	True	True	False	False	False	True	True	False	True	False	False	False	False	False	True	False	False	False	CMP
19	157142.7	111555.88	92317.0	53464.11	93958.98	37291.0	734.66003	1448.61	873.09	625.0	3938.0	9877.98	2113.6	6460.8003	6135.8	A21	not_seq	not_seq_A21	True	True	False	True	True	False	True	False	True	False	False	False	False	False	False	True	False	False	GMP
20	143427.6	98071.57	95845.0	56538.69	85238.55	43470.0	710.68	691.06	848.02	658.0	3185.0	8725.23	1437.6	4154.4	6398.7	A22	not_seq	not_seq_A22	True	True	False	True	True	False	True	False	True	False	False	False	False	False	False	True	False	False	GMP
21	146717.1	106451.72	90325.0	48321.54	90838.18	34862.0	798.97003	703.05005	960.29004	681.0	4934.0	350.61002	2088.0	8852.8	6660.3	A23	not_seq	not_seq_A23	True	True	False	True	False	True	True	False	True	False	False	False	False	False	True	False	False	False	CMP
22	149769.89	101051.34	97132.0	54412.41	86070.13	41431.0	309.56	106.82	587.51	639.0	3385.0	2818.8	987.2	4452.0	6933.5	A24	not_seq	not_seq_A24	True	True	False	False	True	False	True	False	True	False	False	False	False	False	False	True	False	False	GMP
23	120176.09	96411.58	81690.0	42046.23	80826.64	34092.0	486.14	922.14	452.35	552.0	2613.0	8043.15	600.8	3564.0	7165.3	B24	not_seq	not_seq_B24	True	True	False	False	True	False	True	False	True	False	False	False	False	False	False	True	False	False	GMP
24	120784.5	92878.23	85227.0	33407.13	83135.36	26335.0	420.74002	270.32	412.02002	183.0	1920.0	2423.82	216.0	2388.0	7352.5	B23	not_seq	not_seq_B23	True	False	True	False	True	False	True	False	False	True	False	False	False	True	False	False	False	False	LMPP
25	178532.1	110043.64	106324.0	58002.9	89008.31	42707.0	543.91003	149.33	713.95	350.0	3468.0	8431.17	809.60004	6688.0	7565.1	B22	not_seq	not_seq_B22	True	True	False	False	True	False	True	False	False	True	False	False	False	False	False	True	False	False	GMP
26	167985.89	115241.37	95531.0	62419.89	89823.67	45542.0	592.96	845.84	677.98004	724.0	4240.0	8292.84	479.2	4378.4	7828.5	B21	not_seq	not_seq_B21	True	True	False	False	True	False	True	False	True	False	False	False	False	False	False	True	False	False	GMP
27	127340.09	103346.836	80751.0	35028.81	91877.375	24986.0	873.09	559.17004	960.29004	547.0	1597.0	134.85	630.4	4256.8003	8028.9	B20	not_seq	not_seq_B20	True	True	False	False	False	True	True	False	True	False	False	False	False	False	True	False	False	False	CMP
28	160003.8	104947.195	99917.0	62851.41	90731.53	45398.0	560.26	1146.68	828.4	657.0	2240.0	7537.68	1896.8	8116.0	8263.6	B19	not_seq	not_seq_B19	True	True	False	True	True	False	True	False	True	False	False	False	False	False	False	True	False	False	GMP
29	129341.695	95675.22	88597.0	42285.48	82156.516	33731.0	1059.48	614.76	528.65	110.0	1736.0	473.28	740.8	3220.0	8461.1	B18	not_seq	not_seq_B18	True	True	False	False	False	True	True	False	False	True	False	False	False	False	True	False	False	False	CMP
30	153701.1	104347.27	96533.0	54399.36	85147.27	41870.0	729.21	1135.78	677.98004	336.0	3107.0	7875.24	1161.6	4004.8	8697.9	B17	not_seq	not_seq_B17	True	True	False	False	True	False	True	False	False	True	False	False	False	False	False	True	False	False	GMP
31	119873.695	91787.99	85589.0	37891.11	80512.01	30843.0	474.15002	573.34	594.05	161.0	1631.0	354.96	969.60004	4209.6	8938.6	B16	not_seq	not_seq_B16	True	True	False	False	False	True	True	False	False	True	False	False	False	False	True	False	False	False	CMP
32	159569.1	101049.586	103489.0	62306.79	84244.66	48470.0	960.29004	855.65	627.84	600.0	2957.0	7600.32	1376.8	7263.2	9161.1	B15	not_seq	not_seq_B15	True	True	False	True	True	False	True	False	True	False	False	False	False	False	False	True	False	False	GMP
33	156220.2	104846.46	97648.0	50493.93	85820.96	38559.0	783.71	487.23	1594.67	673.0	8322.0	391.5	1424.0	6866.4	9370.3	B14	not_seq	not_seq_B14	True	True	False	True	False	True	True	False	True	False	False	False	False	False	True	False	False	False	CMP
34	136731.6	98047.36	91393.0	41410.26	88086.695	30809.0	547.18	1154.31	728.12	368.0	2361.0	441.09	1832.8	9572.0	9643.8	B13	not_seq	not_seq_B13	True	True	False	True	False	True	True	False	False	True	False	False	False	False	True	False	False	False	CMP
35	154791.0	108979.79	93085.0	94809.12	88433.27	70261.0	1494.39	1072.56	812.05005	395.0	4026.0	700.35	1100.0	9274.4	9869.8	B12	not_seq	not_seq_B12	True	True	False	False	False	True	True	False	False	True	False	False	False	False	True	False	False	False	CMP
36	180029.69	114778.49	102793.0	55044.03	91175.68	39565.0	996.26	1184.8301	1287.29	1173.0	4068.0	10701.0	1223.2001	5524.8003	10071.8	B11	not_seq	not_seq_B11	True	True	False	True	True	False	True	False	True	False	False	False	False	False	False	True	False	False	GMP
37	155852.1	102445.54	99701.0	54304.53	87053.02	40882.0	528.65	1000.62006	1160.85	739.0	3776.0	8373.75	948.8	6737.6	10313.2	B10	not_seq	not_seq_B10	True	True	False	False	True	False	True	False	True	False	False	False	False	False	False	True	False	False	GMP
38	131897.7	93815.31	92139.0	46164.81	80365.96	37646.0	1130.3301	784.80005	574.43	203.0	3347.0	9890.16	860.0	3372.0	10538.1	B9	not_seq	not_seq_B9	True	True	False	False	True	False	True	False	False	True	False	False	False	False	False	True	False	False	GMP
39	117970.195	93369.75	82803.0	39973.02	82472.98	31764.0	541.73004	722.67004	1007.16003	316.0	3003.0	10616.61	1377.6	4971.2	10758.8	B8	not_seq	not_seq_B8	True	True	False	True	True	False	True	False	False	True	False	False	False	False	False	True	False	False	GMP
40	167908.5	111805.93	98421.0	86072.58	96730.73	58315.0	718.31	427.28	1144.5	622.0	6628.0	12377.49	900.0	8722.4	11017.0	B7	not_seq	not_seq_B7	True	True	False	False	True	False	True	False	True	False	False	False	False	False	False	True	False	False	GMP
41	122580.0	93255.51	86144.0	42407.28	79467.125	34973.0	898.16003	694.33	1510.74	215.0	1089.0	243.6	828.8	7867.2	11226.0	B6	not_seq	not_seq_B6	True	True	False	False	False	True	True	False	False	True	False	False	False	False	True	False	False	False	CMP
