	Plate_Well	celltype
0	not_seq_A2	CMP
1	not_seq_A3	LMPP
2	not_seq_A4	GMP2
3	not_seq_A5	LMPP
4	not_seq_A6	MPP
5	not_seq_A7	GMP
6	not_seq_A8	GMP
7	not_seq_A9	MPP
8	not_seq_A10	MEP
9	not_seq_A11	GMP2
10	not_seq_A12	MEP
11	not_seq_A13	MEP
12	not_seq_A14	GMP
13	not_seq_A15	GMP2
14	not_seq_A16	GMP
15	not_seq_A17	GMP2
16	not_seq_A18	MEP
17	not_seq_A19	MEP
18	not_seq_A20	CMP
19	not_seq_A21	GMP
20	not_seq_A22	GMP
21	not_seq_A23	CMP
22	not_seq_A24	unassigned
23	not_seq_B24	GMP2
24	not_seq_B23	LMPP
25	not_seq_B22	GMP
26	not_seq_B21	GMP
27	not_seq_B20	CMP
28	not_seq_B19	GMP2
29	not_seq_B18	CMP
30	not_seq_B17	GMP
31	not_seq_B16	CMP
32	not_seq_B15	GMP2
33	not_seq_B14	CMP
34	not_seq_B13	MEP
35	not_seq_B12	MEP
36	not_seq_B11	GMP
37	not_seq_B10	GMP
38	not_seq_B9	GMP
39	not_seq_B8	GMP
40	not_seq_B7	GMP
41	not_seq_B6	CMP
42	not_seq_B5	LMPP
43	not_seq_B4	GMP
44	not_seq_B3	HSC
45	not_seq_C2	GMP2
46	not_seq_C1	GMP
47	not_seq_B1	GMP
48	not_seq_D1	MEP
49	not_seq_D2	MEP
50	not_seq_D3	GMP
51	not_seq_D4	MPP
52	not_seq_C4	MEP
53	not_seq_C5	GMP
54	not_seq_C6	CMP
55	not_seq_C7	GMP
56	not_seq_C8	GMP
57	not_seq_C9	MPP
58	not_seq_C10	MEP
59	not_seq_C11	CMP
60	not_seq_C12	GMP
61	not_seq_C13	GMP
62	not_seq_C14	GMP
63	not_seq_C15	GMP2
64	not_seq_C16	GMP
65	not_seq_C17	GMP
66	not_seq_C18	GMP2
67	not_seq_C19	GMP2
68	not_seq_C20	GMP
69	not_seq_C21	GMP
70	not_seq_C22	MEP
71	not_seq_C23	CMP
72	not_seq_C24	MEP
73	not_seq_D24	GMP
74	not_seq_D23	GMP
75	not_seq_D22	GMP2
76	not_seq_D21	GMP
77	not_seq_D20	MEP
78	not_seq_D19	LMPP
79	not_seq_D18	GMP
80	not_seq_D17	LMPP
81	not_seq_D16	unassigned
82	not_seq_D15	unassigned
83	not_seq_D14	GMP
84	not_seq_D13	GMP
85	not_seq_D12	HSC
86	not_seq_D11	GMP2
87	not_seq_D10	GMP
88	not_seq_D9	CMP
89	not_seq_D8	HSC
90	not_seq_D7	MEP
91	not_seq_D6	LMPP
92	not_seq_D5	GMP
93	not_seq_E5	LMPP
94	not_seq_E4	MEP
95	not_seq_E3	unassigned
96	not_seq_E2	GMP2
97	not_seq_E1	MEP
98	not_seq_F1	CMP
99	not_seq_F2	MPP
100	not_seq_F3	GMP
101	not_seq_F4	MEP
102	not_seq_F5	MEP
103	not_seq_F6	GMP
104	not_seq_E6	MEP
105	not_seq_E7	GMP2
106	not_seq_E8	unassigned
107	not_seq_E9	MPP
108	not_seq_E10	GMP2
109	not_seq_E11	CMP
110	not_seq_E12	GMP
111	not_seq_E13	MEP
112	not_seq_E14	GMP2
113	not_seq_E15	LMPP
114	not_seq_E16	GMP2
115	not_seq_E17	GMP
116	not_seq_E18	MEP
117	not_seq_E19	GMP
118	not_seq_E20	GMP
119	not_seq_E21	GMP
120	not_seq_E22	GMP
121	not_seq_E23	MEP
122	not_seq_E24	GMP
123	not_seq_F24	GMP
124	not_seq_F23	GMP2
125	not_seq_F22	GMP
126	not_seq_F21	HSC
127	not_seq_F20	CMP
128	not_seq_F19	GMP
129	not_seq_F18	MEP
130	not_seq_F17	MEP
131	not_seq_F16	MEP
132	not_seq_F15	GMP
133	not_seq_F14	GMP
134	not_seq_F13	CMP
135	not_seq_F12	GMP
136	not_seq_F11	LMPP
137	not_seq_F10	GMP
138	not_seq_F9	MEP
139	not_seq_F8	LMPP
140	not_seq_F7	HSC
141	not_seq_G7	LMPP
142	not_seq_G6	HSC
143	not_seq_G5	MPP
144	not_seq_G4	GMP2
145	not_seq_G3	CMP
146	not_seq_G2	GMP2
147	not_seq_G1	GMP2
148	not_seq_H1	GMP
149	not_seq_H2	GMP
150	not_seq_H3	GMP
151	not_seq_H4	LMPP
152	not_seq_H5	GMP
153	not_seq_H6	GMP
154	not_seq_H7	GMP
155	not_seq_H8	GMP
156	not_seq_G8	GMP
157	not_seq_G9	GMP
158	not_seq_G10	GMP
159	not_seq_G11	GMP
160	not_seq_G12	GMP
161	not_seq_G13	GMP
162	not_seq_G14	MPP
163	not_seq_G15	GMP
164	not_seq_G16	CMP
165	not_seq_G17	MEP
166	not_seq_G18	MEP
167	not_seq_G19	GMP
168	not_seq_G20	GMP
169	not_seq_G21	GMP
170	not_seq_G22	GMP
171	not_seq_G23	CMP
172	not_seq_G24	GMP
173	not_seq_H24	GMP
174	not_seq_H23	CMP
175	not_seq_H22	GMP
176	not_seq_H21	GMP
177	not_seq_H20	GMP
178	not_seq_H19	GMP
179	not_seq_H18	MPP
180	not_seq_H17	MEP
181	not_seq_H16	GMP
182	not_seq_H15	GMP
183	not_seq_H14	MEP
184	not_seq_H13	CMP
185	not_seq_H12	GMP
186	not_seq_H11	GMP
187	not_seq_H10	GMP
188	not_seq_H9	GMP
189	not_seq_I9	GMP
190	not_seq_I8	GMP
191	not_seq_I7	GMP
192	not_seq_I6	GMP
193	not_seq_I5	CMP
194	not_seq_I4	GMP
195	not_seq_I3	GMP
196	not_seq_I2	GMP
197	not_seq_I1	GMP2
198	not_seq_J1	GMP
199	not_seq_J2	GMP
200	not_seq_J3	GMP
201	not_seq_J4	GMP
202	not_seq_J5	GMP
203	not_seq_J6	MPP
204	not_seq_J7	GMP
205	not_seq_J8	CMP
206	not_seq_J9	GMP2
207	not_seq_J10	MPP
208	not_seq_I10	MPP
209	not_seq_I11	GMP
210	not_seq_I12	MEP
211	not_seq_I13	CMP
212	not_seq_I14	GMP2
213	not_seq_I15	GMP2
214	not_seq_I16	MEP
215	not_seq_I17	GMP
216	not_seq_I18	LSC
217	not_seq_I19	GMP2
218	not_seq_I20	GMP
219	not_seq_I21	MPP
220	not_seq_I22	GMP2
221	not_seq_I23	GMP
222	not_seq_I24	GMP
223	not_seq_J24	GMP
224	not_seq_J23	GMP
225	not_seq_J22	CMP
226	not_seq_J21	GMP
227	not_seq_J20	GMP
228	not_seq_J19	GMP
229	not_seq_J18	GMP
230	not_seq_J17	GMP2
231	not_seq_J16	GMP
232	not_seq_J15	LMPP
233	not_seq_J14	CMP
234	not_seq_J13	MEP
235	not_seq_J12	GMP
236	not_seq_J11	MEP
237	not_seq_K11	MEP
238	not_seq_K10	GMP
239	not_seq_K9	GMP
240	not_seq_K8	unassigned
241	not_seq_K7	LMPP
242	not_seq_K6	MEP
243	not_seq_K5	CMP
244	not_seq_K4	GMP
245	not_seq_K3	MEP
246	not_seq_K2	MEP
247	not_seq_K1	GMP
248	not_seq_L1	LSC
249	not_seq_L2	MEP
250	not_seq_L3	MEP
251	not_seq_L4	GMP
252	not_seq_L5	CMP
253	not_seq_L6	MEP
254	not_seq_L7	GMP2
255	not_seq_L8	CMP
256	not_seq_L9	GMP2
257	not_seq_L10	GMP2
258	not_seq_L11	GMP
259	not_seq_L12	GMP
260	not_seq_K12	GMP
261	not_seq_K13	GMP
262	not_seq_K14	GMP
263	not_seq_K15	GMP
264	not_seq_K16	GMP
265	not_seq_K17	GMP
266	not_seq_K18	CMP
267	not_seq_K19	GMP2
268	not_seq_K20	GMP2
269	not_seq_K21	GMP
270	not_seq_K22	MPP
271	not_seq_K23	LMPP
272	not_seq_K24	GMP2
273	not_seq_L24	MEP
274	not_seq_L23	GMP
