	FSC-A	FSC-W	FSC-H	SSC-A	SSC-W	SSC-H	CD16-PE	CD14-Pe-Cy5	CD56-PE-Cy7	CD66b-BV421	Zombie	CD45-FITC	Cd27-APC	R780/60-A	IgD-BB700	Time	Well	Plate	Plate_Well	Colour	CD45_pos	IgD_pos	IgD_neg	CD27_pos	CD27_neg	CD66b_pos	CD66b_neg	CD16_pos	CD16_neg	CD14_pos	CD14_neg	nBC	NE	CD14pos_mono	CD14neg_mono	unassigned	celltype
0	145642.5	105121.555	90798.0	129941.46	100483.125	84749.0	839.8826930796167	259.82636438526265	139.54913916150159	19910.403623167258	389.1871877431044	3864.9502327147216	399.63404549683935	-154.70702225288147	550.9328369231202	3381.9	A2	not_seq_NE1	not_seq_NE1_A2	(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)	True	False	True	False	True	True	False	True	False	False	True	False	True	False	False	False	NE
1	146340.0	106933.43	89687.0	129895.35	97529.03	87285.0	4271.820940750462	463.23666720193603	15.991819580408693	18998.990423442112	743.364456246308	3571.0086633664177	240.86279560370002	-158.42787232735847	460.22073998542703	3580.3	A3	not_seq_NE1	not_seq_NE1_A3	(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)	True	False	True	False	True	True	False	True	False	False	True	False	True	False	False	False	NE
2	138422.7	109421.16	82906.0	129632.61	97569.85	87072.0	1348.742325535922	212.91496711352846	46.0098777682272	10176.041206393495	554.9010990363047	2881.6381682098936	631.4262250753378	155.7659044725941	401.2540869208961	3765.8	A4	not_seq_NE1	not_seq_NE1_A4	(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)	True	False	True	False	True	True	False	True	False	False	True	False	True	False	False	False	NE
3	136967.39	103793.805	86482.0	112227.39	96270.03	76399.0	1884.1807020334365	3576.813711645016	106.86263156691919	31820.180179677278	416.99614103463955	3992.907565718002	1037.7858894284063	-208.43312344131024	312.13581836847516	3991.7	A5	not_seq_NE1	not_seq_NE1_A5	(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)	True	False	True	True	False	True	False	True	False	True	False	False	True	False	False	False	NE
4	120446.09	100998.734	78155.0	98477.914	93367.6	69123.0	3995.3815979742217	339.7648799140781	43.823993785625646	20670.6515059935	811.545532132524	2789.7599967033393	358.5980406118483	-175.15435644453453	460.6555066580642	4215.6	A6	not_seq_NE1	not_seq_NE1_A6	(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)	True	False	True	False	True	True	False	True	False	False	True	False	True	False	False	False	NE
5	138826.8	107969.44	84266.0	108271.5	101069.44	70206.0	2335.6852287960537	653.8916965064051	-53.49239923191396	9522.248366787971	355.78776680149235	3069.522636640918	-333.0294177738498	95.3481966872114	402.5411262458652	4415.4	A7	not_seq_NE1	not_seq_NE1_A7	(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)	True	False	True	False	True	True	False	True	False	False	True	False	True	False	False	False	NE
6	118577.695	101552.58	76523.0	102499.92	93448.266	71884.0	892.7037187498132	928.8209159097066	-7.691379500532042	42934.70905245301	256.22747495441666	3751.5322678113985	511.4254448703472	123.72937875899248	257.75078131648496	4617.4	A8	not_seq_NE1	not_seq_NE1_A8	(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)	True	False	True	False	True	True	False	True	False	False	True	False	True	False	False	False	NE
7	164263.5	115960.27	92835.0	155962.3	100703.91	101497.0	1123.1350745895045	371.8172315483236	47.62873402804957	26424.112838620116	1261.524410597835	2569.142738894899	265.1946214200646	37.79051396095026	196.74064456641136	4832.0	A9	not_seq_NE1	not_seq_NE1_A9	(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)	True	False	True	False	True	True	False	True	False	False	True	False	True	False	False	False	NE
8	143312.39	103715.02	90557.0	117249.03	93291.32	82366.0	973.1701250134197	2896.468004238942	-37.04106037775655	22297.590333010266	580.3972966931932	3913.8764698578875	-94.9755689003948	0.881592849358924	-33.35151412330856	5037.4	A10	not_seq_NE1	not_seq_NE1_A10	(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)	True	False	True	False	True	True	False	True	False	True	False	False	True	False	False	False	NE
9	135338.39	101763.89	87158.0	97516.56	91817.22	69604.0	1232.423350466404	424.90073053392257	104.18060581012058	29116.981689809265	1060.5762221351968	2500.88368868906	121.78670367456353	287.9750945760576	283.68328044871737	5240.4	A11	not_seq_NE1	not_seq_NE1_A11	(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)	True	False	True	False	True	True	False	True	False	False	True	False	True	False	False	False	NE
10	120754.8	104676.94	75602.0	106519.32	93121.46	74965.0	1012.9755692171726	1233.7012447324914	120.27354357058957	61707.2228231276	689.084452137504	4231.868990705478	701.3655976423839	-11.778563930252176	685.2751383768697	5500.5	A12	not_seq_NE1	not_seq_NE1_A12	(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)	True	False	True	False	True	True	False	True	False	True	False	False	True	False	False	False	NE
11	129703.5	100611.336	84486.0	90647.914	92021.16	64558.0	754.2021361758244	311.66646122066794	38.86945089540649	12047.39702491145	383.97950761615016	3540.1198032859006	194.34116210931862	-28.437740675081205	257.3659417853356	5709.9	A13	not_seq_NE1	not_seq_NE1_A13	(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)	True	False	True	False	True	True	False	True	False	False	True	False	True	False	False	False	NE
12	149712.3	107319.14	91424.0	96819.69	97421.734	65131.0	1283.6591150050033	1372.3002942809112	-72.48981408619278	12982.654063921285	751.6183857678797	2990.147173769681	253.9853024168396	-186.12670613289993	356.9182194538305	5944.9	A14	not_seq_NE1	not_seq_NE1_A14	(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)	True	False	True	False	True	True	False	True	False	True	False	False	True	False	False	False	NE
13	145391.39	112076.06	85017.0	101346.3	95164.73	69793.0	2525.019638090919	1010.8197616575272	201.13703427929659	20155.069387963376	555.1200674433835	3171.830746986558	165.70970056041054	136.15128534849637	625.932405720679	6144.1	A15	not_seq_NE1	not_seq_NE1_A15	(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)	True	False	True	False	True	True	False	True	False	True	False	False	True	False	False	False	NE
14	146495.7	111830.3	85851.0	98776.32	103334.74	62645.0	1080.9026093356304	527.3081415180144	110.81118534738724	37061.0034029345	988.6370600441857	3268.464201719993	117.67589898408747	96.35269278965131	290.22551562102285	6333.6	A16	not_seq_NE1	not_seq_NE1_A16	(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)	True	False	True	False	True	True	False	True	False	False	True	False	True	False	False	False	NE
15	151385.39	108668.24	91298.0	146815.98	93734.305	102649.0	1759.2422820481108	2008.1575489213858	31.706803159001304	40926.17340265498	1032.4625900012697	4150.560234661483	638.921820872796	137.14357340831316	470.9733321715662	6552.2	A17	not_seq_NE1	not_seq_NE1_A17	(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)	True	False	True	False	True	True	False	True	False	True	False	False	True	False	False	False	NE
16	151811.1	112218.766	88658.0	134056.56	91150.39	96385.0	923.7080816337912	494.3889516628489	49.96117505388953	34535.8706238068	878.2413327443946	2542.2356786732425	234.77902310936065	54.298197624591964	288.17674667217227	6739.4	A18	not_seq_NE1	not_seq_NE1_A18	(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)	True	False	True	False	True	True	False	True	False	False	True	False	True	False	False	False	NE
17	131822.1	98733.62	87499.0	119593.68	93774.72	83580.0	1341.2016862271328	930.3287304523478	-32.509082480946475	12959.951188597364	434.88444581956423	2359.794126114598	301.02733201387866	-36.656423654654944	361.3677526060278	6953.7	A19	not_seq_NE1	not_seq_NE1_A19	(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)	True	False	True	False	True	True	False	True	False	False	True	False	True	False	False	False	NE
18	148225.5	109223.35	88938.0	142108.4	104011.8	89540.0	1542.783062063411	585.2061623043624	-77.40666830988872	18934.23379589318	647.3905826675903	2713.283498419806	117.43213310033133	-1.7769583989483237	363.09023915105917	7154.5	A20	not_seq_NE1	not_seq_NE1_A20	(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)	True	False	True	False	True	True	False	True	False	False	True	False	True	False	False	False	NE
19	144927.0	115729.695	82070.0	155115.78	106335.445	95600.0	833.8704580498456	693.491492159134	62.68129041040106	15782.078889962875	493.51317600125515	2929.8587063217715	487.8036680462287	-224.46429140412243	232.73107373242368	7364.3	A21	not_seq_NE1	not_seq_NE1_A21	(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)	True	False	True	False	True	True	False	True	False	False	True	False	True	False	False	False	NE
20	146101.5	108458.21	88282.0	160846.47	96715.67	108992.0	3575.6625735022335	810.1517804574229	44.146534490289255	20987.687152828123	391.04701787099265	3148.2982977905203	101.71408070004242	-156.34624981428266	114.28063218493492	7574.2	A22	not_seq_NE1	not_seq_NE1_A22	(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)	True	False	True	False	True	True	False	True	False	False	True	False	True	False	False	False	NE
21	153315.0	110366.45	91039.0	137463.48	92749.99	97130.0	2665.106681591578	1406.426155089425	21.123013646828245	27429.6985665408	714.1043523795457	3082.782575953938	668.330979290427	-86.78494428099134	855.4313358517751	7785.8	A23	not_seq_NE1	not_seq_NE1_A23	(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)	True	False	True	False	True	True	False	True	False	True	False	False	True	False	False	False	NE
22	149044.5	108181.1	90291.0	150966.75	96095.08	102958.0	720.651337926633	98.62883485096569	64.24375368180006	49267.15205929196	811.7966126828134	3655.519823148072	523.2486950201627	134.84904964817312	352.4921570674275	7986.0	A24	not_seq_NE1	not_seq_NE1_A24	(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)	True	False	True	False	True	True	False	True	False	False	True	False	True	False	False	False	NE
