	FSC-A	FSC-W	FSC-H	SSC-A	SSC-W	SSC-H	CD16-PE	CD14-Pe-Cy5	CD56-PE-Cy7	CD66b-BV421	Zombie	CD45-FITC	Cd27-APC	R780/60-A	IgD-BB700	Time	Well	Plate	Plate_Well	CD45_pos	IgD_pos	IgD_neg	CD27_pos	CD27_neg	CD66b_pos	CD66b_neg	CD16_pos	CD16_neg	CD14_pos	CD14_neg	nBC	NE	CD14pos_mono	CD14neg_mono	unassigned	celltype	Colour
0	145642.5	105121.555	90798.0	129941.46	100483.125	84749.0	900.34	412.02002	178.76001	20184.0	440.0	3882.81	642.4	-36.0	702.96	3381.9	A2	not_seq_NE1	not_seq_NE1_A2	True	False	True	False	True	True	False	True	False	False	True	False	True	False	False	False	NE	(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)
1	146340.0	106933.43	89687.0	129895.35	97529.03	87285.0	4325.12	895.98004	89.380005	19272.0	956.0	3610.5	558.4	-65.6	849.99	3580.3	A3	not_seq_NE1	not_seq_NE1_A3	True	False	True	False	True	True	False	True	False	False	True	False	True	False	False	False	NE	(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)
2	138422.7	109421.16	82906.0	129632.61	97569.85	87072.0	1386.4801	441.45	85.020004	10393.0	627.0	2903.19	813.60004	258.4	559.41	3765.8	A4	not_seq_NE1	not_seq_NE1_A4	True	False	True	False	True	True	False	True	False	False	True	False	True	False	False	False	NE	(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)
3	136967.39	103793.805	86482.0	112227.39	96270.03	76399.0	2066.6401	3914.1902	429.46002	32132.0	514.0	4013.31	2623.2	16.800001	1784.37	3991.7	A5	not_seq_NE1	not_seq_NE1_A5	True	False	True	False	True	True	False	True	False	False	True	False	True	False	False	False	NE	(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)
4	120446.09	100998.734	78155.0	98477.914	93367.6	69123.0	4044.9902	766.27	106.82	20894.0	1011.0	2829.24	620.8	-76.8	790.83	4215.6	A6	not_seq_NE1	not_seq_NE1_A6	True	False	True	False	True	True	False	True	False	False	True	False	True	False	False	False	NE	(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)
5	138826.8	107969.44	84266.0	108271.5	101069.44	70206.0	2376.2	821.86005	16.35	9735.0	475.0	3091.98	28.800001	146.40001	767.34	4415.4	A7	not_seq_NE1	not_seq_NE1_A7	True	False	True	False	True	True	False	True	False	False	True	False	True	False	False	False	NE	(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)
6	118577.695	101552.58	76523.0	102499.92	93448.266	71884.0	978.82	1093.27	83.93	43202.0	304.0	3763.62	1031.2001	217.6	665.55	4617.4	A8	not_seq_NE1	not_seq_NE1_A8	True	False	True	False	True	True	False	True	False	False	True	False	True	False	False	False	NE	(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)
7	164263.5	115960.27	92835.0	155962.3	100703.91	101497.0	1178.29	521.02	91.560005	26614.0	1319.0	2600.43	518.4	96.0	411.51	4832.0	A9	not_seq_NE1	not_seq_NE1_A9	True	False	True	False	True	True	False	True	False	False	True	False	True	False	False	False	NE	(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)
8	143312.39	103715.02	90557.0	117249.03	93291.32	82366.0	1107.4401	2969.1602	206.01001	22568.0	627.0	3928.92	1160.0	78.4	1131.87	5037.4	A10	not_seq_NE1	not_seq_NE1_A10	True	False	True	False	True	True	False	True	False	False	True	False	True	False	False	False	NE	(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)
9	135338.39	101763.89	87158.0	97516.56	91817.22	69604.0	1296.01	564.62	152.6	29300.0	1125.0	2529.96	408.80002	356.0	521.13	5240.4	A11	not_seq_NE1	not_seq_NE1_A11	True	False	True	False	True	True	False	True	False	False	True	False	True	False	False	False	NE	(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)
10	120754.8	104676.94	75602.0	106519.32	93121.46	74965.0	1141.23	1450.79	246.34001	62018.0	751.0	4257.78	1430.4	172.0	1223.22	5500.5	A12	not_seq_NE1	not_seq_NE1_A12	True	False	True	False	True	True	False	True	False	False	True	False	True	False	False	False	NE	(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)
11	129703.5	100611.336	84486.0	90647.914	92021.16	64558.0	797.88	416.38	75.21	12292.0	425.0	3553.95	409.6	31.2	422.82	5709.9	A13	not_seq_NE1	not_seq_NE1_A13	True	False	True	False	True	True	False	True	False	False	True	False	True	False	False	False	NE	(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)
12	149712.3	107319.14	91424.0	96819.69	97421.734	65131.0	1351.6001	1534.7201	56.68	13201.0	820.0	3014.55	908.0	-85.6	955.26	5944.9	A14	not_seq_NE1	not_seq_NE1_A14	True	False	True	False	True	True	False	True	False	False	True	False	True	False	False	False	NE	(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)
13	145391.39	112076.06	85017.0	101346.3	95164.73	69793.0	2613.82	1281.8401	310.65002	20393.0	688.0	3201.6	717.60004	280.0	1143.18	6144.1	A15	not_seq_NE1	not_seq_NE1_A15	True	False	True	False	True	True	False	True	False	False	True	False	True	False	False	False	NE	(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)
14	146495.7	111830.3	85851.0	98776.32	103334.74	62645.0	1158.67	652.91003	166.77	37293.0	1046.0	3295.56	468.0	168.8	560.28	6333.6	A16	not_seq_NE1	not_seq_NE1_A16	True	False	True	False	True	True	False	True	False	False	True	False	True	False	False	False	NE	(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)
15	151385.39	108668.24	91298.0	146815.98	93734.305	102649.0	1888.9701	2277.01	222.36	41237.0	1126.0	4183.83	1625.6	304.80002	1342.41	6552.2	A17	not_seq_NE1	not_seq_NE1_A17	True	False	True	False	True	True	False	True	False	False	True	False	True	False	False	False	NE	(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)
16	151811.1	112218.766	88658.0	134056.56	91150.39	96385.0	988.63	622.39	103.55	34721.0	928.0	2566.5	558.4	127.200005	535.92	6739.4	A18	not_seq_NE1	not_seq_NE1_A18	True	False	True	False	True	True	False	True	False	False	True	False	True	False	False	False	NE	(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)
17	131822.1	98733.62	87499.0	119593.68	93774.72	83580.0	1394.11	1105.26	61.04	13136.0	506.0	2378.58	768.0	56.8	789.09	6953.7	A19	not_seq_NE1	not_seq_NE1_A19	True	False	True	False	True	True	False	True	False	False	True	False	True	False	False	False	NE	(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)
18	148225.5	109223.35	88938.0	142108.4	104011.8	89540.0	1585.9501	749.92004	-13.08	19130.0	728.0	2737.02	460.0	66.4	669.9	7154.5	A20	not_seq_NE1	not_seq_NE1_A20	True	False	True	False	True	True	False	True	False	False	True	False	True	False	False	False	NE	(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)
19	144927.0	115729.695	82070.0	155115.78	106335.445	95600.0	893.80005	850.2	134.07	15996.0	538.0	2945.82	856.0	-136.8	549.84	7364.3	A21	not_seq_NE1	not_seq_NE1_A21	True	False	True	False	True	True	False	True	False	False	True	False	True	False	False	False	NE	(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)
20	146101.5	108458.21	88282.0	160846.47	96715.67	108992.0	3641.6902	1151.04	135.16	21223.0	564.0	3173.76	519.2	-105.6	599.43	7574.2	A22	not_seq_NE1	not_seq_NE1_A22	True	False	True	False	True	True	False	True	False	False	True	False	True	False	False	False	NE	(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)
21	153315.0	110366.45	91039.0	137463.48	92749.99	97130.0	2756.61	1769.0701	173.31001	27676.0	858.0	3118.95	1416.8	115.200005	1532.9401	7785.8	A23	not_seq_NE1	not_seq_NE1_A23	True	False	True	False	True	True	False	True	False	False	True	False	True	False	False	False	NE	(0.9677975592919913, 0.44127456009157356, 0.5358103155058701)
