	Plate_Well	celltype
0	not_seq_NE1_A2	NE
1	not_seq_NE1_A3	NE
2	not_seq_NE1_A4	NE
3	not_seq_NE1_A5	NE
4	not_seq_NE1_A6	NE
5	not_seq_NE1_A7	NE
6	not_seq_NE1_A8	NE
7	not_seq_NE1_A9	NE
8	not_seq_NE1_A10	NE
9	not_seq_NE1_A11	NE
10	not_seq_NE1_A12	NE
11	not_seq_NE1_A13	NE
12	not_seq_NE1_A14	NE
13	not_seq_NE1_A15	NE
14	not_seq_NE1_A16	NE
15	not_seq_NE1_A17	NE
16	not_seq_NE1_A18	NE
17	not_seq_NE1_A19	NE
18	not_seq_NE1_A20	NE
19	not_seq_NE1_A21	NE
20	not_seq_NE1_A22	NE
21	not_seq_NE1_A23	NE
22	not_seq_NE1_A24	NE
23	not_seq_NE1_B24	NE
24	not_seq_NE1_B23	NE
25	not_seq_NE1_B22	NE
26	not_seq_NE1_B21	NE
27	not_seq_NE1_B20	NE
28	not_seq_NE1_B19	NE
29	not_seq_NE1_B18	NE
30	not_seq_NE1_B17	NE
31	not_seq_NE1_B16	NE
32	not_seq_NE1_B15	NE
33	not_seq_NE1_B14	NE
34	not_seq_NE1_B13	NE
35	not_seq_NE1_B12	NE
36	not_seq_NE1_B11	NE
37	not_seq_NE1_B10	NE
38	not_seq_NE1_B9	NE
39	not_seq_NE1_B8	NE
40	not_seq_NE1_B7	NE
41	not_seq_NE1_B6	NE
42	not_seq_NE1_B5	NE
43	not_seq_NE1_B4	NE
44	not_seq_NE1_B3	NE
45	not_seq_NE1_C2	NE
46	not_seq_NE1_C1	NE
47	not_seq_NE1_B1	NE
48	not_seq_NE1_D1	NE
49	not_seq_NE1_D2	NE
50	not_seq_NE1_D3	NE
51	not_seq_NE1_D4	NE
52	not_seq_NE1_C4	NE
53	not_seq_NE1_C5	NE
54	not_seq_NE1_C6	NE
55	not_seq_NE1_C7	NE
56	not_seq_NE1_C8	NE
57	not_seq_NE1_C9	NE
58	not_seq_NE1_C10	NE
59	not_seq_NE1_C11	NE
60	not_seq_NE1_C12	NE
61	not_seq_NE1_C13	NE
62	not_seq_NE1_C14	NE
63	not_seq_NE1_C15	NE
64	not_seq_NE1_C16	NE
65	not_seq_NE1_C17	NE
66	not_seq_NE1_C18	NE
