Join_cols	RN_RUNX1_c	RN_RUNX1_g	RN_SRSF2	RN_TET2a
AS-193_B12_Monocytes	4917	2973	115	840
AS-193_B13_Monocytes	118	168	1084	721
AS-193_C16_Monocytes	1039	1496	601	562
AS-193_C20_Monocytes	326	242	108	261
AS-193_C6_Monocytes	776	349	113	161
AS-193_D13_Monocytes	351	1476	198	1278
AS-193_D17_Monocytes	10627	203	729	947
AS-193_D19_Monocytes	458	188	2028	122
AS-193_D20_Monocytes	1701	271	397	1717
AS-193_D6_Monocytes	990	365	164	140
AS-193_D8_Monocytes	2645	450	750	496
AS-193_D9_Monocytes	3514	1860	373	386
AS-193_E12_Monocytes	1222	373	154	186
AS-193_E13_Monocytes	581	1602	410	221
AS-193_E16_Monocytes	499	1630	3199	129
AS-193_E17_Monocytes	819	350	159	128
AS-193_E19_Monocytes	601	1912	345	642
AS-193_E20_Monocytes	603	2296	1101	3341
AS-193_E22_Monocytes	7674	270	890	2119
AS-193_E2_Monocytes	3241	3258	107	1076
AS-193_E4_Monocytes	449	237	123	138
AS-193_E6_Monocytes	5094	4053	265	124
AS-193_E8_Monocytes	5620	2352	159	1772
AS-193_E9_Monocytes	756	523	949	2301
AS-193_F12_Monocytes	701	598	3599	188
AS-193_F13_Monocytes	1281	318	200	270
AS-193_F16_Monocytes	2634	1352	186	638
AS-193_F17_Monocytes	854	2592	169	206
AS-193_F18_Monocytes	614	1479	251	380
AS-193_F19_Monocytes	8792	251	1413	169
AS-193_F20_Monocytes	569	1269	705	1513
AS-193_F21_Monocytes	2024	106	399	1479
AS-193_F22_Monocytes	426	192	105	3571
AS-193_F2_Monocytes	448	213	134	518
AS-193_F4_Monocytes	3678	211	405	2353
AS-193_F6_Monocytes	1163	1266	283	2505
AS-193_F8_Monocytes	4703	1044	298	155
AS-193_F9_Monocytes	850	289	3736	192
AS-193_G12_Monocytes	520	202	103	135
AS-193_G13_Monocytes	1349	234	149	216
AS-193_G17_Monocytes	556	237	112	2152
AS-193_G20_Monocytes	471	1100	645	177
AS-193_H13_Monocytes	531	2958	1103	129
AS-193_H16_Monocytes	2349	1578	547	1016
AS-193_H17_Monocytes	11418	245	761	112
AS-193_H20_Monocytes	567	1794	296	177
AS-193_H4_Monocytes	709	202	427	169
AS-193_H6_Monocytes	2547	368	3292	120
AS-193_H8_Monocytes	828	402	137	104
AS-193_I12_Monocytes	773	319	179	1010
AS-193_I13_Monocytes	4317	741	289	1566
AS-193_I16_Monocytes	3431	302	499	157
AS-193_I17_Monocytes	889	1320	2725	245
AS-193_I19_Monocytes	1098	251	536	1497
AS-193_I20_Monocytes	671	371	171	355
AS-193_I21_Monocytes	377	402	298	897
AS-193_I2_Monocytes	570	245	107	1623
AS-193_I4_Monocytes	3897	2218	315	265
AS-193_I6_Monocytes	14958	364	2112	355
AS-193_I8_Monocytes	1041	446	168	188
AS-193_I9_Monocytes	797	280	641	2410
AS-193_J12_Monocytes	3676	3008	612	1257
AS-193_J13_Monocytes	555	671	320	2908
AS-193_J16_Monocytes	2863	226	1120	1223
AS-193_J17_Monocytes	5426	548	1542	110
AS-193_J19_Monocytes	2756	207	134	127
AS-193_J20_Monocytes	638	306	172	245
AS-193_J2_Monocytes	580	2900	111	176
AS-193_J3_Monocytes	225	103	180	172
AS-193_J6_Monocytes	8273	520	2250	187
AS-193_J8_Monocytes	3355	1657	281	136
AS-193_J9_Monocytes	740	242	165	138
AS-193_K12_Monocytes	2546	1293	484	727
AS-193_K13_Monocytes	7965	287	1078	1330
AS-193_K16_Monocytes	1338	912	500	1156
AS-193_K17_Monocytes	860	243	138	164
AS-193_K18_Monocytes	230	128	386	2147
AS-193_K19_Monocytes	817	1128	210	1609
AS-193_K20_Monocytes	579	337	2586	281
AS-193_K2_Monocytes	463	1344	103	119
AS-193_K4_Monocytes	555	173	104	150
AS-193_K6_Monocytes	6600	322	899	119
AS-193_K8_Monocytes	1813	2731	846	181
AS-193_K9_Monocytes	11478	907	584	379
AS-193_L12_Monocytes	547	239	110	112
AS-193_L13_Monocytes	874	272	319	1920
AS-193_L16_Monocytes	4377	2008	246	107
AS-193_L18_Monocytes	219	131	162	153
AS-193_L19_Monocytes	449	196	109	777
AS-193_L20_Monocytes	453	281	156	221
AS-193_L3_Monocytes	1202	113	366	1292
AS-193_L6_Monocytes	11863	386	1723	615
AS-193_L8_Monocytes	906	1223	108	1452
AS-193_L9_Monocytes	1266	1586	458	1096
AS-193_M12_Monocytes	253	217	100	109
AS-193_M13_Monocytes	231	1882	1493	225
AS-193_M17_Monocytes	302	1865	465	104
AS-193_M20_Monocytes	1122	1358	124	1817
AS-193_M22_Monocytes	143	155	154	128
AS-193_M4_Monocytes	211	234	213	1416
AS-193_M6_Monocytes	3098	302	678	111
AS-193_M8_Monocytes	355	294	102	1574
AS-193_M9_Monocytes	3940	1722	269	129
AS-193_N13_Monocytes	478	148	631	263
AS-193_N20_Monocytes	9985	192	1730	732
AS-193_N2_Monocytes	4914	116	868	116
AS-193_N3_Monocytes	1308	164	643	892
AS-193_N6_Monocytes	1230	162	251	108
AS-193_N9_Monocytes	3963	263	251	100
AS-193_O12_Monocytes	3931	125	108	119
AS-193_O20_Monocytes	181	3131	424	174
AS-194_A13_nBCs	160	2604	188	264
AS-194_B13_nBCs	341	222	134	5016
AS-194_B19_nBCs	175	207	134	3330
AS-194_C12_nBCs	191	340	130	136
AS-194_C13_nBCs	235	507	752	322
AS-194_C18_nBCs	849	1173	124	2978
AS-194_C9_nBCs	185	4471	311	148
AS-194_D13_nBCs	3675	562	767	6164
AS-194_D16_nBCs	108	2723	195	1949
AS-194_D18_nBCs	123	6154	2369	217
AS-194_E13_nBCs	12270	4156	3348	156
AS-194_E18_nBCs	267	260	101	3473
AS-194_E22_nBCs	123	3429	744	128
AS-194_F12_nBCs	596	377	495	114
AS-194_F13_nBCs	913	326	302	226
AS-194_F16_nBCs	374	252	532	2765
