Amplicon	Letter	Number	MT	WT	Ratio
GR_TET2a	A	1	0	0	0.0
GR_TET2b	A	1	0	1	0.0
GR_TET2a	A	10	0	0	0.0
GR_TET2b	A	10	2	4	0.3327787021630616
GR_TET2a	A	11	0	0	0.0
GR_TET2b	A	11	0	2	0.0
GR_TET2a	A	12	0	9	0.0
GR_TET2b	A	12	6	26	0.18744142455482662
GR_TET2a	A	13	0	11	0.0
GR_TET2b	A	13	46	18	0.718637712857366
GR_TET2a	A	14	0	0	0.0
GR_TET2b	A	14	1	2	0.33222591362126247
GR_TET2a	A	15	1	1	0.49751243781094534
GR_TET2b	A	15	0	2	0.0
GR_TET2a	A	16	1	0	0.9900990099009901
GR_TET2b	A	16	10	6	0.6246096189881324
GR_TET2a	A	17	0	1	0.0
GR_TET2b	A	17	40	23	0.6348198698619267
GR_TET2a	A	18	0	2	0.0
GR_TET2b	A	18	21	15	0.583171341294085
GR_TET2a	A	19	0	0	0.0
GR_TET2b	A	19	1	34	0.028563267637817767
GR_TET2a	A	2	0	0	0.0
GR_TET2b	A	2	19	4	0.8257279443720121
GR_TET2a	A	20	2	8	0.1998001998001998
GR_TET2b	A	20	25	6	0.8061915511125443
GR_TET2a	A	21	0	0	0.0
GR_TET2b	A	21	5	15	0.2498750624687656
GR_TET2a	A	22	0	0	0.0
GR_TET2b	A	22	24	22	0.5216257335361878
GR_TET2a	A	23	0	0	0.0
GR_TET2b	A	23	0	13	0.0
GR_TET2a	A	24	0	0	0.0
GR_TET2b	A	24	4	14	0.22209883398112157
GR_TET2a	A	3	5	18	0.21729682746631898
GR_TET2b	A	3	22	39	0.36059662350434357
GR_TET2a	A	4	0	4	0.0
GR_TET2b	A	4	5	53	0.08619203585588692
GR_TET2a	A	5	2	5	0.28530670470756064
GR_TET2b	A	5	1	11	0.08326394671107411
GR_TET2a	A	6	0	0	0.0
GR_TET2b	A	6	9	346	0.025351398552153463
GR_TET2a	A	7	0	1	0.0
GR_TET2b	A	7	9	8	0.5291005291005291
GR_TET2a	A	8	0	2	0.0
GR_TET2b	A	8	21	34	0.3817487729503727
GR_TET2a	A	9	0	0	0.0
GR_TET2b	A	9	23	16	0.5895924122019995
GR_TET2a	B	1	0	0	0.0
GR_TET2b	B	1	6	11	0.3527336860670194
GR_TET2a	B	10	0	0	0.0
GR_TET2b	B	10	4	4	0.4993757802746567
GR_TET2a	B	11	0	0	0.0
GR_TET2b	B	11	11	186	0.05583472920156338
GR_TET2a	B	12	0	4	0.0
GR_TET2b	B	12	45	71	0.3878975950349108
GR_TET2a	B	13	7	9	0.43722673329169265
GR_TET2b	B	13	5463	73	0.9868118012792606
GR_TET2a	B	14	0	1	0.0
GR_TET2b	B	14	5	17	0.22716946842344388
GR_TET2a	B	15	1	1	0.49751243781094534
GR_TET2b	B	15	1	20	0.047596382674916705
GR_TET2a	B	16	0	0	0.0
GR_TET2b	B	16	36	241	0.12995920724883578
GR_TET2a	B	17	1	0	0.9900990099009901
GR_TET2b	B	17	117	54	0.6841705163440734
GR_TET2a	B	18	0	0	0.0
GR_TET2b	B	18	51	47	0.5203550658096112
GR_TET2a	B	19	1	0	0.9900990099009901
GR_TET2b	B	19	40	107	0.272090333990885
GR_TET2a	B	2	1	0	0.9900990099009901
GR_TET2b	B	2	68	21	0.7639591057184586
GR_TET2a	B	20	6	11	0.3527336860670194
GR_TET2b	B	20	82	26	0.7591889639848162
GR_TET2a	B	21	0	0	0.0
GR_TET2b	B	21	27	48	0.35995200639914676
GR_TET2a	B	22	0	0	0.0
GR_TET2b	B	22	85	56	0.6027941280760231
GR_TET2a	B	23	0	0	0.0
GR_TET2b	B	23	10	33	0.2325040688212044
GR_TET2a	B	24	0	0	0.0
GR_TET2b	B	24	19	34	0.35842293906810035
GR_TET2a	B	3	4	10	0.28551034975017847
GR_TET2b	B	3	62	90	0.40786790342740614
GR_TET2a	B	4	0	2	0.0
GR_TET2b	B	4	38	116	0.24673722485552887
GR_TET2a	B	5	0	11	0.0
GR_TET2b	B	5	7	32	0.17944116893104334
GR_TET2a	B	6	0	0	0.0
GR_TET2b	B	6	241	110	0.6865901256374463
GR_TET2a	B	7	0	1	0.0
GR_TET2b	B	7	35	18	0.6602527824938691
GR_TET2a	B	8	0	2	0.0
GR_TET2b	B	8	71	93	0.43290043290043295
GR_TET2a	B	9	1	0	0.9900990099009901
GR_TET2b	B	9	71	48	0.5965885219729434
GR_TET2a	C	1	0	0	0.0
GR_TET2b	C	1	10	42	0.19227071716977506
GR_TET2a	C	10	0	0	0.0
GR_TET2b	C	10	16	20	0.4443210219383505
GR_TET2a	C	11	0	0	0.0
GR_TET2b	C	11	605	34	0.9467770457426331
GR_TET2a	C	12	0	17	0.0
GR_TET2b	C	12	89	230	0.2789881194946867
GR_TET2a	C	13	5	12	0.2939447383891828
GR_TET2b	C	13	247	188	0.5678030390105975
GR_TET2a	C	14	4	2	0.6655574043261232
GR_TET2b	C	14	25	521	0.04578670720316478
GR_TET2a	C	15	1	0	0.9900990099009901
GR_TET2b	C	15	0	14	0.0
GR_TET2a	C	16	0	3	0.0
GR_TET2b	C	16	76	56	0.5757139610635559
GR_TET2a	C	17	80	0	0.999875015623047
GR_TET2b	C	17	237	3772	0.05911683931943297
GR_TET2a	C	18	1	0	0.9900990099009901
GR_TET2b	C	18	117	147	0.44316503162758986
GR_TET2a	C	19	2	0	0.9950248756218907
GR_TET2b	C	19	56	253	0.1812239086113718
GR_TET2a	C	2	2	3	0.3992015968063872
GR_TET2b	C	2	175	88	0.6653739401543668
GR_TET2a	C	20	1	5	0.1663893510815308
GR_TET2b	C	20	162	95	0.6303256682619354
GR_TET2a	C	21	0	0	0.0
GR_TET2b	C	21	35	134	0.20708833796816759
GR_TET2a	C	22	1	2	0.33222591362126247
GR_TET2b	C	22	195	165	0.5416516207883114
GR_TET2a	C	23	1	0	0.9900990099009901
GR_TET2b	C	23	31	87	0.26268960257605284
GR_TET2a	C	24	18	3	0.8567348881485006
GR_TET2b	C	24	656	3450	0.1597658067077284
GR_TET2a	C	3	4	13	0.23515579071134624
GR_TET2b	C	3	142	204	0.410392763214936
GR_TET2a	C	4	0	19	0.0
GR_TET2b	C	4	82	1007	0.07529774749543162
GR_TET2a	C	5	0	2	0.0
GR_TET2b	C	5	13	72	0.15292318550758732
GR_TET2a	C	6	1	3	0.24937655860349128
GR_TET2b	C	6	135	248	0.3524712148507872
GR_TET2a	C	7	0	0	0.0
GR_TET2b	C	7	59	39	0.6019793898581777
GR_TET2a	C	8	0	4	0.0
GR_TET2b	C	8	193	220	0.4673010338732718
GR_TET2a	C	9	1	1	0.49751243781094534
GR_TET2b	C	9	106	164	0.3925780526647161
GR_TET2a	D	1	0	0	0.0
GR_TET2b	D	1	16	19	0.4570122822050843
GR_TET2a	D	10	0	1	0.0
GR_TET2b	D	10	6	10	0.3747657713928794
GR_TET2a	D	11	0	0	0.0
GR_TET2b	D	11	11	24	0.31419594401599543
GR_TET2a	D	12	0	36	0.0
GR_TET2b	D	12	2017	97	0.9541109077062075
GR_TET2a	D	13	1	8	0.11098779134295228
GR_TET2b	D	13	3156	123	0.9624856282841466
GR_TET2a	D	14	0	1	0.0
GR_TET2b	D	14	1	19	0.04997501249375312
GR_TET2a	D	15	0	0	0.0
GR_TET2b	D	15	2	2	0.49875311720698257
GR_TET2a	D	16	7	2	0.7769145394006659
GR_TET2b	D	16	56	33	0.629142792944613
GR_TET2a	D	17	0	1	0.0
GR_TET2b	D	17	204	128	0.6144393241167435
GR_TET2a	D	18	4	2	0.6655574043261232
GR_TET2b	D	18	87	4119	0.020684686912299303
GR_TET2a	D	19	2	0	0.9950248756218907
GR_TET2b	D	19	65	156	0.2941043391701733
GR_TET2a	D	2	3	2	0.5988023952095809
GR_TET2b	D	2	123	59	0.6757870446678754
GR_TET2a	D	20	3	14	0.1763668430335097
GR_TET2b	D	20	123	58	0.6795204684824043
GR_TET2a	D	21	0	1	0.0
GR_TET2b	D	21	34	73	0.3177273152041865
GR_TET2a	D	22	0	0	0.0
GR_TET2b	D	22	110	93	0.5418452292990493
GR_TET2a	D	23	0	3	0.0
GR_TET2b	D	23	18	78	0.18748047078429328
GR_TET2a	D	24	0	2	0.0
GR_TET2b	D	24	33	60	0.35480055907966884
GR_TET2a	D	3	3	19	0.13630168105406631
GR_TET2b	D	3	136	175	0.43728497475965405
GR_TET2a	D	4	143	168	0.4597922896369892
GR_TET2b	D	4	2016	193	0.9126260179899592
GR_TET2a	D	5	1	12	0.07686395080707148
GR_TET2b	D	5	11	687	0.015759086546038022
GR_TET2a	D	6	0	4	0.0
GR_TET2b	D	6	128	207	0.38207814692098746
GR_TET2a	D	7	2	0	0.9950248756218907
GR_TET2b	D	7	47	35	0.5731008413608096
GR_TET2a	D	8	0	6	0.0
GR_TET2b	D	8	132	140	0.4852762766074777
GR_TET2a	D	9	1	10	0.09082652134423251
GR_TET2b	D	9	99	129	0.4341914828297005
GR_TET2a	E	1	1	5	0.1663893510815308
GR_TET2b	E	1	14	28	0.33325398714591764
GR_TET2a	E	10	0	8	0.0
GR_TET2b	E	10	529	16	0.9706243922129869
GR_TET2a	E	11	0	0	0.0
GR_TET2b	E	11	15	21	0.4165509580672036
GR_TET2a	E	12	3	6988	0.00042912254452504
GR_TET2b	E	12	151	183	0.45208227298583875
GR_TET2a	E	13	4	28	0.12496094970321775
GR_TET2b	E	13	365	161	0.6939031577346438
GR_TET2a	E	14	0	2	0.0
GR_TET2b	E	14	3	25	0.10710460549803641
GR_TET2a	E	15	1	0	0.9900990099009901
GR_TET2b	E	15	5	11	0.3123048094940662
GR_TET2a	E	16	228	68	0.7702442485051181
GR_TET2b	E	16	103	38	0.7304446493156515
GR_TET2a	E	17	4	13	0.23515579071134624
GR_TET2b	E	17	327	182	0.6424235280249897
GR_TET2a	E	18	3	25	0.10710460549803641
GR_TET2b	E	18	171	137	0.5551767799746762
GR_TET2a	E	19	651	82	0.8881188524031051
GR_TET2b	E	19	218	2928	0.06929412176057927
GR_TET2a	E	2	7	13	0.34982508745627183
GR_TET2b	E	2	198	57	0.7764401396023686
GR_TET2a	E	20	12	256	0.0447744487146002
GR_TET2b	E	20	15731	77	0.9951284190736215
GR_TET2a	E	21	1	7	0.12484394506866417
GR_TET2b	E	21	68	1238	0.052066982641786816
GR_TET2a	E	22	1	10	0.09082652134423251
GR_TET2b	E	22	199	181	0.5236704297255336
GR_TET2a	E	23	2	20	0.09086778736937755
GR_TET2b	E	23	41	4191	0.009688067844830233
GR_TET2a	E	24	6	8	0.4282655246252677
GR_TET2b	E	24	72	79	0.47678961658168334
GR_TET2a	E	3	8	37	0.17773828038213732
GR_TET2b	E	3	198	216	0.47824931764933215
GR_TET2a	E	4	5	16	0.23798191337458352
GR_TET2b	E	4	134	291	0.31528669913649093
GR_TET2a	E	5	2	14	0.12492192379762647
GR_TET2b	E	5	21	58	0.265789140615112
GR_TET2a	E	6	5	18	0.21729682746631898
GR_TET2b	E	6	201	280	0.4178707303382466
GR_TET2a	E	7	2	188	0.010525761802010421
GR_TET2b	E	7	76	33	0.6971837446105862
GR_TET2a	E	8	10	15	0.3998400639744102
GR_TET2b	E	8	213	203	0.512006922910507
GR_TET2a	E	9	3	15	0.1665741254858412
GR_TET2b	E	9	183	145	0.5579098198225664
GR_TET2a	F	1	0	6	0.0
GR_TET2b	F	1	12	51	0.19044596095857802
GR_TET2a	F	10	0	1	0.0
GR_TET2b	F	10	18	36	0.3332716163673394
GR_TET2a	F	11	0	7	0.0
GR_TET2b	F	11	13	49	0.20964360587002098
GR_TET2a	F	12	0	13	0.0
GR_TET2b	F	12	99	292	0.253190455487072
GR_TET2a	F	13	0	1148	0.0
GR_TET2b	F	13	517	5124	0.09165025412115915
GR_TET2a	F	14	0	4	0.0
GR_TET2b	F	14	12	809	0.01461614353052947
GR_TET2a	F	15	0	202	0.0
GR_TET2b	F	15	2	7	0.22197558268590456
GR_TET2a	F	16	1	6	0.14265335235378032
GR_TET2b	F	16	79	86	0.4787588630992061
GR_TET2a	F	17	0	4	0.0
GR_TET2b	F	17	326	336	0.4924396912433347
GR_TET2a	F	18	1	9	0.0999000999000999
GR_TET2b	F	18	115	346	0.2494522895381879
GR_TET2a	F	19	2	15	0.11757789535567312
GR_TET2b	F	19	59	333	0.15050636463355527
GR_TET2a	F	2	5	4	0.5549389567147613
GR_TET2b	F	2	188	123	0.6044821709912864
GR_TET2a	F	20	6	20	0.23068050749711647
GR_TET2b	F	20	178	143	0.5544998598174512
GR_TET2a	F	21	0	25	0.0
GR_TET2b	F	21	43	1789	0.023471487601050212
GR_TET2a	F	22	40	73	0.3539509777895761
GR_TET2b	F	22	14475	3880	0.7886130271789555
GR_TET2a	F	23	0	7	0.0
GR_TET2b	F	23	19	133	0.12499177685678574
GR_TET2a	F	24	0	3	0.0
GR_TET2b	F	24	47	129	0.2670302823703199
GR_TET2a	F	3	7	170	0.03954578837353822
GR_TET2b	F	3	177	369	0.32416988699840665
GR_TET2a	F	4	0	23	0.0
GR_TET2b	F	4	101	404	0.19999603968238253
GR_TET2a	F	5	1	87	0.011362345188046812
GR_TET2b	F	5	13	104	0.11110161524656012
GR_TET2a	F	6	0	18	0.0
GR_TET2b	F	6	156	9288	0.016518406905541183
GR_TET2a	F	7	3	2	0.5988023952095809
GR_TET2b	F	7	54	82	0.3970296301742519
GR_TET2a	F	8	0	6	0.0
GR_TET2b	F	8	196	258	0.4317085526750512
GR_TET2a	F	9	1	11	0.08326394671107411
GR_TET2b	F	9	159	224	0.4151327641575938
GR_TET2a	G	1	0	10	0.0
GR_TET2b	G	1	14	21	0.3998857469294487
GR_TET2a	G	10	0	26	0.0
GR_TET2b	G	10	424	12	0.9724547602119218
GR_TET2a	G	11	0	1	0.0
GR_TET2b	G	11	12	10	0.5452067242162653
GR_TET2a	G	12	2	50	0.03845414343395501
GR_TET2b	G	12	111	129	0.4624807299695846
GR_TET2a	G	13	7	39	0.15214083894805477
GR_TET2b	G	13	295	140	0.678145329992414
GR_TET2a	G	14	0	6	0.0
GR_TET2b	G	14	15	27	0.35705784337062607
GR_TET2a	G	15	2	2	0.49875311720698257
GR_TET2b	G	15	4	2	0.6655574043261232
GR_TET2a	G	16	278	14	0.9520221910208555
GR_TET2b	G	16	6179	34	0.9945260026943462
GR_TET2a	G	17	2	13	0.13324450366422386
GR_TET2b	G	17	237	151	0.6108089997680473
GR_TET2a	G	18	15	18	0.4544077552256892
GR_TET2b	G	18	119	68	0.6363296080423507
GR_TET2a	G	19	3	15	0.1665741254858412
GR_TET2b	G	19	80	166	0.32519003292549087
GR_TET2a	G	2	3	21	0.12494793835901707
GR_TET2b	G	2	151	36	0.8074434522218064
GR_TET2a	G	20	5	10	0.3331112591605596
GR_TET2b	G	20	141	41	0.774682709741223
GR_TET2a	G	21	0	5	0.0
GR_TET2b	G	21	39	89	0.3046636981485822
GR_TET2a	G	22	0	17	0.0
GR_TET2b	G	22	173	150	0.5355871335252779
GR_TET2a	G	23	2	18	0.09995002498750624
GR_TET2b	G	23	31	49	0.38745156855393076
GR_TET2a	G	24	1	10	0.09082652134423251
GR_TET2b	G	24	41	55	0.42703885011977916
GR_TET2a	G	3	11	4990	0.0021995556897506704
GR_TET2b	G	3	184	4593	0.038517817630693674
GR_TET2a	G	4	0	20	0.0
GR_TET2b	G	4	92	203	0.31185383546320466
GR_TET2a	G	5	3	47	0.059988002399520096
GR_TET2b	G	5	18	538	0.03237351846189817
GR_TET2a	G	6	2	16	0.11104941699056078
GR_TET2b	G	6	131	199	0.3969576679494561
GR_TET2a	G	7	2	7	0.22197558268590456
GR_TET2b	G	7	48	25	0.6574441857279825
GR_TET2a	G	8	1	18	0.052603892688058915
GR_TET2b	G	8	188	153	0.5513034808363392
GR_TET2a	G	9	20	12	0.6248047485160888
GR_TET2b	G	9	119	104	0.5336083583695799
GR_TET2a	H	1	4	1	0.7984031936127745
GR_TET2b	H	1	0	38	0.0
GR_TET2a	H	10	0	0	0.0
GR_TET2b	H	10	5	14	0.2630194634402946
GR_TET2a	H	11	1	27	0.035701535166012134
GR_TET2b	H	11	5	109	0.04385580212262082
GR_TET2a	H	12	21	24	0.4665629860031104
GR_TET2b	H	12	33	183	0.15277070505995094
GR_TET2a	H	13	15	2481	0.006009591307727132
GR_TET2b	H	13	174	159	0.5225068316266779
GR_TET2a	H	14	2	0	0.9950248756218907
GR_TET2b	H	14	1	139	0.007142346975216056
GR_TET2a	H	15	3	0	0.9966777408637875
GR_TET2b	H	15	1	7	0.12484394506866417
GR_TET2a	H	16	11	107	0.09321243962376069
GR_TET2b	H	16	32	73	0.30473288258261116
GR_TET2a	H	17	17	7	0.7080383173677633
GR_TET2b	H	17	117	209	0.3588846967884421
GR_TET2a	H	18	12	6	0.6662965019433648
GR_TET2b	H	18	381	138	0.734089901928672
GR_TET2a	H	19	12	5	0.7054673721340388
GR_TET2b	H	19	11	182	0.05699186570644008
GR_TET2a	H	2	1191	6	0.994979156398025
GR_TET2b	H	2	66	87	0.43134435657800146
GR_TET2a	H	20	12	28	0.2999250187453137
GR_TET2b	H	20	70	97	0.41913657864798515
GR_TET2a	H	21	3	3	0.49916805324459235
GR_TET2b	H	21	18	1957	0.009113877904415674
GR_TET2a	H	22	28	6	0.8232872684504557
GR_TET2b	H	22	82	191	0.3003552983407201
GR_TET2a	H	23	7	3	0.6993006993006993
GR_TET2b	H	23	4	58	0.06450572488308337
GR_TET2a	H	24	9	9	0.49972237645752354
GR_TET2b	H	24	6	83	0.06740815638692281
GR_TET2a	H	3	10	31	0.243842965130456
GR_TET2b	H	3	76	202	0.27337146145822094
GR_TET2a	H	4	14	6	0.6996501749125437
GR_TET2b	H	4	28	4493	0.0061933063629587195
GR_TET2a	H	5	879	19	0.9788309707018853
GR_TET2b	H	5	1	585	0.001706455521236839
GR_TET2a	H	6	7	15	0.31803725579282144
GR_TET2b	H	6	52	270	0.16148566814695195
GR_TET2a	H	7	4	2	0.6655574043261232
GR_TET2b	H	7	28	57	0.3293730149394189
GR_TET2a	H	8	13	16	0.44812133746983795
GR_TET2b	H	8	75	235	0.24192767975226606
GR_TET2a	H	9	3	2	0.5988023952095809
GR_TET2b	H	9	56	132	0.29785649699484074
GR_TET2a	I	1	0	0	0.0
GR_TET2b	I	1	10	33	0.2325040688212044
GR_TET2a	I	10	15	2	0.8818342151675485
GR_TET2b	I	10	18	27	0.39991113085980895
GR_TET2a	I	11	0	1	0.0
GR_TET2b	I	11	14	54	0.20585208057638582
GR_TET2a	I	12	5	28	0.1514692517418964
GR_TET2b	I	12	136	326	0.2943659228155235
GR_TET2a	I	13	3	19	0.13630168105406631
GR_TET2b	I	13	387	336	0.5352623061921689
GR_TET2a	I	14	0	66	0.0
GR_TET2b	I	14	13	405	0.03109973445611349
GR_TET2a	I	15	1	1	0.49751243781094534
GR_TET2b	I	15	2	11	0.15372790161414296
GR_TET2a	I	16	2	2	0.49875311720698257
GR_TET2b	I	16	110	95	0.5365591922345252
GR_TET2a	I	17	4	4	0.4993757802746567
GR_TET2b	I	17	317	2846	0.10022099202974381
GR_TET2a	I	18	5	2	0.7132667617689016
GR_TET2b	I	18	170	238	0.41665645449866423
