Reads	Reads	Total	Mut_freq
MT	WT		
0.0	160.0	160.0	0.0
1.0	2603.0	2604.0	0.00038402457757296467
2.0	186.0	188.0	0.010638297872340425
0.0	264.0	264.0	0.0
2.0	339.0	341.0	0.005865102639296188
0.0	222.0	222.0	0.0
5.0	129.0	134.0	0.03731343283582089
4.0	5012.0	5016.0	0.0007974481658692185
0.0	175.0	175.0	0.0
2.0	205.0	207.0	0.00966183574879227
2.0	132.0	134.0	0.014925373134328358
0.0	3330.0	3330.0	0.0
1.0	184.0	185.0	0.005405405405405406
3.0	4468.0	4471.0	0.0006709908297919928
1.0	310.0	311.0	0.003215434083601286
7.0	141.0	148.0	0.0472972972972973
1.0	190.0	191.0	0.005235602094240838
0.0	340.0	340.0	0.0
3.0	127.0	130.0	0.023076923076923078
0.0	136.0	136.0	0.0
2.0	233.0	235.0	0.00851063829787234
1.0	506.0	507.0	0.0019723865877712033
4.0	748.0	752.0	0.005319148936170213
5.0	317.0	322.0	0.015527950310559006
0.0	849.0	849.0	0.0
2.0	1171.0	1173.0	0.0017050298380221654
6.0	118.0	124.0	0.04838709677419355
4.0	2974.0	2978.0	0.001343183344526528
3.0	3672.0	3675.0	0.0008163265306122449
3.0	559.0	562.0	0.005338078291814947
5.0	762.0	767.0	0.00651890482398957
2.0	6162.0	6164.0	0.0003244646333549643
0.0	108.0	108.0	0.0
1.0	2722.0	2723.0	0.0003672420124862284
6.0	189.0	195.0	0.03076923076923077
0.0	1949.0	1949.0	0.0
1.0	122.0	123.0	0.008130081300813009
5.0	6149.0	6154.0	0.0008124796880077998
9.0	2360.0	2369.0	0.003799071338117349
3.0	214.0	217.0	0.013824884792626729
29.0	12241.0	12270.0	0.002363488182559087
8.0	4148.0	4156.0	0.0019249278152069298
7.0	3341.0	3348.0	0.002090800477897252
1.0	155.0	156.0	0.00641025641025641
1.0	266.0	267.0	0.003745318352059925
1.0	259.0	260.0	0.0038461538461538464
5.0	96.0	101.0	0.04950495049504951
4.0	3469.0	3473.0	0.001151742009789807
3.0	120.0	123.0	0.024390243902439025
0.0	3429.0	3429.0	0.0
2.0	742.0	744.0	0.002688172043010753
32.0	96.0	128.0	0.25
3.0	251.0	254.0	0.011811023622047244
0.0	141.0	141.0	0.0
7.0	172.0	179.0	0.03910614525139665
1.0	115.0	116.0	0.008620689655172414
3.0	5260.0	5263.0	0.0005700171005130154
6.0	2999.0	3005.0	0.0019966722129783694
10.0	138.0	148.0	0.06756756756756757
1.0	206.0	207.0	0.004830917874396135
3.0	593.0	596.0	0.0050335570469798654
0.0	377.0	377.0	0.0
11.0	484.0	495.0	0.022222222222222223
6.0	108.0	114.0	0.05263157894736842
1.0	912.0	913.0	0.001095290251916758
1.0	325.0	326.0	0.003067484662576687
11.0	291.0	302.0	0.03642384105960265
8.0	218.0	226.0	0.035398230088495575
1.0	373.0	374.0	0.00267379679144385
1.0	251.0	252.0	0.003968253968253968
417.0	115.0	532.0	0.7838345864661654
0.0	2765.0	2765.0	0.0
1.0	292.0	293.0	0.0034129692832764505
1.0	192.0	193.0	0.0051813471502590676
27.0	8249.0	8276.0	0.003262445625906235
3.0	169.0	172.0	0.01744186046511628
1.0	316.0	317.0	0.0031545741324921135
0.0	183.0	183.0	0.0
10.0	244.0	254.0	0.03937007874015748
0.0	179.0	179.0	0.0
1.0	625.0	626.0	0.001597444089456869
3.0	271.0	274.0	0.010948905109489052
11.0	163.0	174.0	0.06321839080459771
13.0	129.0	142.0	0.09154929577464789
0.0	174.0	174.0	0.0
2.0	194.0	196.0	0.01020408163265306
9.0	929.0	938.0	0.009594882729211088
4.0	147.0	151.0	0.026490066225165563
0.0	186.0	186.0	0.0
0.0	215.0	215.0	0.0
12.0	104.0	116.0	0.10344827586206896
29.0	166.0	195.0	0.14871794871794872
1.0	735.0	736.0	0.001358695652173913
12.0	213.0	225.0	0.05333333333333334
3.0	114.0	117.0	0.02564102564102564
1.0	102.0	103.0	0.009708737864077669
17.0	20512.0	20529.0	0.0008280968386185396
6.0	2333.0	2339.0	0.0025651988029072254
9.0	302.0	311.0	0.028938906752411574
5.0	133.0	138.0	0.036231884057971016
3.0	3154.0	3157.0	0.0009502692429521698
2.0	1746.0	1748.0	0.0011441647597254005
19.0	100.0	119.0	0.15966386554621848
1.0	1675.0	1676.0	0.0005966587112171838
3.0	445.0	448.0	0.006696428571428571
2.0	203.0	205.0	0.00975609756097561
1.0	110.0	111.0	0.009009009009009009
13.0	93.0	106.0	0.12264150943396226
7.0	686.0	693.0	0.010101010101010102
2.0	216.0	218.0	0.009174311926605505
7.0	438.0	445.0	0.015730337078651686
1.0	120.0	121.0	0.008264462809917356
20.0	719.0	739.0	0.02706359945872801
0.0	928.0	928.0	0.0
6.0	111.0	117.0	0.05128205128205128
13.0	190.0	203.0	0.06403940886699508
27.0	1650.0	1677.0	0.016100178890876567
0.0	247.0	247.0	0.0
1.0	116.0	117.0	0.008547008547008548
17.0	2874.0	2891.0	0.00588031822898651
43.0	1436.0	1479.0	0.0290736984448952
2.0	1349.0	1351.0	0.0014803849000740192
1.0	209.0	210.0	0.004761904761904762
1.0	101.0	102.0	0.00980392156862745
45.0	1815.0	1860.0	0.024193548387096774
0.0	477.0	477.0	0.0
2.0	210.0	212.0	0.009433962264150943
5.0	288.0	293.0	0.017064846416382253
57.0	552.0	609.0	0.09359605911330049
1.0	599.0	600.0	0.0016666666666666668
1.0	137.0	138.0	0.007246376811594203
